14 07 06  05 51 01  87.5211  117.5417  24.4617
14 07 06  05 52 01  87.4220  117.4419  24.4617
14 07 06  05 53 01  87.6202  117.4918  24.4656
14 07 06  05 54 01  87.4468  117.5167  24.4732
14 07 06  05 55 02  87.6450  117.6913  24.4694
14 07 06  05 56 01  87.6450  117.4169  24.4617
14 07 06  05 57 01  87.6698  117.4918  24.4694
14 07 06  05 58 01  87.5707  117.6913  24.4656
14 07 06  05 59 01  87.6698  117.5666  24.4694
14 07 06  06 00 01  87.5954  117.4169  24.4656
14 07 06  06 01 01  87.4964  117.6165  24.4656
14 07 06  06 02 01  87.4716  117.5915  24.4732
14 07 06  06 03 01  87.5459  117.4918  24.4656
14 07 06  06 04 01  87.4468  117.3920  24.4694
14 07 06  06 05 01  87.5459  117.5167  24.4732
14 07 06  06 06 02  87.7441  117.3671  24.4694
14 07 06  06 07 01  87.4716  117.5915  24.4694
14 07 06  06 08 01  87.4716  117.3920  24.4656
14 07 06  06 09 01  87.4468  117.5666  24.4656
14 07 06  06 10 01  87.3973  117.6414  24.4656
14 07 06  06 11 01  87.5211  117.4419  24.4656
14 07 06  06 12 01  87.8679  117.5915  24.4694
14 07 06  06 13 01  87.6202  117.4419  24.4694
14 07 06  06 14 01  87.5707  117.5417  24.4694
14 07 06  06 15 01  87.4716  117.7162  24.4656
14 07 06  06 16 01  87.4468  117.6664  24.4694
14 07 06  06 17 01  87.5211  117.5666  24.4694
14 07 06  06 18 01  87.6202  117.7412  24.4694
14 07 06  06 19 01  87.5459  117.3671  24.4694
14 07 06  06 20 02  87.5211  117.5167  24.4694
14 07 06  06 21 01  87.5459  117.5915  24.4656
14 07 06  06 22 01  87.6945  117.7162  24.4732
14 07 06  06 23 02  87.6698  117.6913  24.4694
14 07 06  06 24 01  87.6202  117.5417  24.4656
14 07 06  06 25 01  87.7936  117.6913  24.4503
14 07 06  06 26 01  87.4964  117.4668  24.4656
14 07 06  06 27 01  87.5459  117.5915  24.4732
14 07 06  06 28 01  87.6698  117.6165  24.4656
14 07 06  06 29 01  87.6450  117.8410  24.4656
14 07 06  06 30 01  87.7688  117.5666  24.4656
14 07 06  06 31 02  87.7936  117.4668  24.4694
14 07 06  06 32 01  87.5459  117.8659  24.4694
14 07 06  06 33 02  87.5954  117.8160  24.4694
14 07 06  06 34 01  87.6698  117.8160  24.4656
14 07 06  06 35 01  87.5459  117.7412  24.4694
14 07 06  06 36 02  87.6945  117.6664  24.4694
14 07 06  06 37 02  87.7441  117.6664  24.4656
14 07 06  06 38 01  87.6450  117.6165  24.4656
14 07 06  06 39 01  87.5954  117.7162  24.4656
14 07 06  06 40 01  87.6202  117.6664  24.4694
14 07 06  06 41 01  87.6202  117.7162  24.4656
14 07 06  06 42 01  87.8184  117.6664  24.4656
14 07 06  06 43 01  87.7193  117.7162  24.4694
14 07 06  06 44 01  87.7688  117.8659  24.4656
14 07 06  06 45 01  87.5954  117.7911  24.4656
14 07 06  06 46 01  87.5707  117.7162  24.4656
14 07 06  06 47 01  87.6450  117.8908  24.4198
14 07 06  06 48 01  87.5707  117.7412  24.4656
14 07 06  06 49 01  87.5707  117.5666  24.4656
14 07 06  06 50 01  87.6450  117.7911  24.4694
14 07 06  06 51 01  87.6202  117.6913  24.4656
14 07 06  06 52 02  87.5459  117.6913  24.4694
14 07 06  06 53 01  87.6202  117.7412  24.4656
14 07 06  06 54 01  87.5707  117.7412  24.4617
14 07 06  06 55 01  87.6202  117.8410  24.4656
14 07 06  06 56 01  87.6945  117.8410  24.4656
14 07 06  06 57 01  87.4964  117.9407  24.4656
14 07 06  06 58 01  87.7193  117.8659  24.4617
14 07 06  06 59 01  87.7193  117.6414  24.4656
14 07 06  07 00 01  87.6450  117.6414  24.4617
14 07 06  07 01 01  87.5954  117.8160  24.4656
14 07 06  07 02 01  87.8184  117.7661  24.4617
14 07 06  07 03 01  87.8432  117.7911  24.4656
